Title,Company,Location,Salary,Description
"Analyst / Associate / Senior Associate, Data Scientist",Alvarez & Marsal,London,Negotiable,"You are a problem solver, and a data expert with hands on experience of complete end-to-end data and analytics projects."
Lead Data Scientist - Dynamic Underwriting,YuLife,London EC1Y,Negotiable,Experience teaching and mentoring data scientists.
Quantitative Researcher (Data Science/Machine Learning/Mathe...,G-Research,London,Negotiable,"We pair this expertise with machine learning, big data, and some of the most advanced technology available to predict movements in financial markets."
Senior Consultants - Data Science & Analytics,Amey plc,London,Negotiable,"You’re comfortable with big data technologies e.g. Spark, Cassandra."
Lead Data Scientist,CAPCO,London,Negotiable,"Experience with data visualisation tools (Tableau, QlikView etc)."
Machine Learning Engineer,SERG Technologies,"London W10
•
Temporarily Remote","£38,000 - £45,000 a year",Strong data science background (knowledge of TensorFlow or pytorch desired).
Data Science Operations Engineer,MasterCard,"London
•
Temporarily Remote",Negotiable,"You will work with a wider team of product owners, data scientists and technologists, designing systems that ensure the efficacy and efficiency of our products."
Natural Language Processing Engineers,Pangaea Data,London,Negotiable,Pangaea Data Limited provides a machine learning based software product to its customers from the biopharmaceutical and healthcare industry for faster…
Senior Data Scientist,Wargaming,"London
•
Remote",Negotiable,Develop tools and processes that will help data scientists and stakeholders more efficiently generate data insight through our very rich game data.
Senior Data Scientist,YOOX NET-A-PORTER GROUP,London,Negotiable,"Work with stakeholders throughout the business to encourage a data-driven approach through the delivery of automated data products and accessible, actionable…"
Senior Data Scientist - Robotics,Ocado Technology,Welwyn Garden City,Negotiable,Experience with time series data.
Clinical Data Scientist,CY Partner,London,Negotiable,"Developing functions/APPs to standardize the process of data cleaning, data formatting and data analysis for commonly used methodologies."
Biostatisticia,IQVIA,London,Negotiable,"Proven experience working with large, individual-level data sets."
Machine Learning Engineer,WorldRemit,London,Negotiable,
Lead Data Analytics & Modelling (Deals Insights & Analytics),PwC,London,Negotiable,
"Associate Director, AI Architectur",IQVIA,London,Negotiable,
Data Scientist,Nicholson Glover Consulting,London WC2B,"£90,000 a year",
Senior Analytics Consultant,Artefact,London,Negotiable,
DATA SCIENTIST SEO,Bangura Solutions,London,Negotiable,
Data Scientist Python Software - Londo,Nexus Recruitment,London,£350 - £500 a day,
Research Data Scientist,dunnhumby,London,Negotiable,
Financial Crime Data Analytics Principal Consultant - Promon...,IBM,London,Negotiable,
Machine Learning Engineer,Cafeyn,"London W1S
•
Remote",Negotiable,
"Analyst / Associate / Senior Associate, Data Scientist",Alvarez & Marsal,London,Negotiable,
Data Scientist,IPS Group,London,Negotiable,
Commercial and Government Risk Analytics and Modelling Senio...,PwC,London,Negotiable,
Graduate Data Scientist - Modelling (Sep 2022),Funding Circle UK,London EC4V,Negotiable,"Using specific tools and languages such as R, Python, SQL and Tableau for reporting and analysis on our AWS data platform."
Data & Analytics - Internship,NatWest Group,London,"£21,500 a year","And data science allows us to apply statistics, computer science and problem solving skills together with strong research methods to test, learn and optimise…"
"Research Data Scientist, Inter",Facebook App,London,Negotiable,"Experience with data visualization libraries such as Matplotlib, Pyplot, ggplot2."
Clinical Data Scientist - NLP Cogstack,Guy's and St Thomas' NHS Foundation Trust,London SE1 7NJ,"£54,223 - £60,316 a year",A consortium of NHS Trusts have set out with the support of a NHSX Artificial Intelligence (AI) Award to test the use of Natural Language Processing AI in the…
Multiple Data Scientist/Senior Analyst roles (SQL or Tableau...,Bank of England,London,"£45,900 - £59,400 a year","Experience in building and supporting data models, data solutions or data visualisations."
Data Scientist,Bank of England,London,"£45,900 - £55,000 a year",Experience in data visualisation or other work that involves aggregating and presenting data in a clear and concise way.
"Data Scientist, Personal Banking",Monzo,"London
•
Remote",Negotiable,90% of day-to-day data-driven decisions are covered by self-serve analytics through Looker which gives data scientists the head space to focus on more impactful…
People Analytics Data Scientist,MasterCard,"London
•
Temporarily Remote",Negotiable,"Ability to develop a nuanced business understanding, testable hypotheses, and meaningful findings from data – able to find the story in the data."
Associate Data Scientist,Infosys,London,Negotiable,Perform Exploratory Data Analysis on customer data.
Machine Learning Engineer Graduate (Recommendation) - 2022 S...,TikTok,London,Negotiable,"Interest in at least one of the following areas: machine learning, data mining, algorithms."
Data Scientist,Cantine,London,Negotiable,Assess and improve the effectiveness of existing data sources and data-gathering techniques.
"Data Scientist, Analytics (University Graduate)",Facebook App,London,Negotiable,Experience in presenting qualitative and quantitative data.
Data Science at M&S,Marks & Spencer,London,Negotiable,SQL to retrieve and manipulate data.
Data Scientist,TikTok,London,Negotiable,Experience navigating and working with very large data sets and developing large and complex data pipelines using SQL/HQL.
Data Scientist,Credit Suisse,London,Negotiable,The data scientists have background either Masters or PhDs.
Data Scientist,TikTok,London,Negotiable,Experience navigating and working with very large data sets and developing large and complex data pipelines using SQL/HQL.
Data Science at M&S,Marks & Spencer,London,Negotiable,SQL to retrieve and manipulate data.
Data Scientist - Associat,Financial Conduct Authority,London,"£35,000 - £45,000 a year","Experience of querying and analysing data from relational databases and understanding of data models, data dictionary and data taxonomies."
Data Scientist,Credit Suisse,London,Negotiable,The data scientists have background either Masters or PhDs.
Data Scientist,Kindred Group,London,Negotiable,We have invested heavily in data technologies and associated analytical tools that enables our data scientist to provide innovative solutions using the latest…
Data Scientist,Aqovia,"London
•
Remote","£55,000 - £70,000 a year",Will be working with large volumes of data and have solid experience working with big data architecture and data flows.
Data Scientist,Government Digital Service,London,"£64,500 a year","Experience of data manipulation, visualisation and analysis using programming skills in a data science language such as Python and SQL;"
Data Scientist Associate - Applied AI,"JPMorgan Chase Bank, N.A.",London,Negotiable,"Demonstrable understanding and experience in data structure, data mining and data analysis techniques with real world data."
Data Scientist,Good With Limited,"London
•
Remote","£50,000 - £65,000 a year","Financial data analytics, machine learning and recommendation engine:"
Contract Data Scientist - NLP,Talenting,London,£550 - £590 a day,"Assist with data extraction, transformation, and loading tasks as needed."
Intern Data Scientist 1,Tetra Pak,Windsor,Negotiable,Solid understanding of data structures and common methods in data transformation.
Data Scientist,Sopra Steria,Hemel Hempstead HP2 7AH,"£35,000 - £45,000 a year","Develop, support, educate, and promote our solution capabilities in data science within the data analyst/data science community."
Data Scientist - 13 month Internship,RELX,London,Negotiable,"We will help you to establish, maintain, and tune customer risk models leveraging thousands of data points from the ThreatMetrix Digital Identity Network and…"
Data Scientist,Gios technologies,London,£400 - £450 a day,The role will suit an experienced data scientist analyst who can quickly assimilate information and translate knowledge to coding of systems that meet business…
Junior Data Scientist,Global Radio Services,London,Negotiable,Knowledge of our main data warehouses and data workflows that we are working with.
Graduate Data Scientist - Modelling (Sep 2022),Funding Circle UK,London EC4V,Negotiable,"Using specific tools and languages such as R, Python, SQL and Tableau for reporting and analysis on our AWS data platform."
Data Scientist - Applied Scienc,causaLens,"London W6
•
Remote",Negotiable,"Working with a broad range of clients to help them integrate our technology into their workflow over the long term, solving technical and data science issues."
Data & Analytics - Internship,NatWest Group,London,"£21,500 a year",Good data engineering helps us get to grips with the data we have.
"Research Data Scientist, Inter",Facebook App,London,Negotiable,"Experience with data visualization libraries such as Matplotlib, Pyplot, ggplot2."
Python Data Scientist (WFH 3 days a week),Exposed Solutions Limited,"London
•
Remote",Negotiable,: Refine and improve data collection and analysis tools.
Clinical Data Scientist - NLP Cogstack,Guy's and St Thomas' NHS Foundation Trust,London SE1 7NJ,"£54,223 - £60,316 a year",A consortium of NHS Trusts have set out with the support of a NHSX Artificial Intelligence (AI) Award to test the use of Natural Language Processing AI in the…
Multiple Data Scientist/Senior Analyst roles (SQL or Tableau...,Bank of England,London,"£45,900 - £59,400 a year","Experience in building and supporting data models, data solutions or data visualisations."
Data Scientist,Bank of England,London,"£45,900 - £55,000 a year",Experience in data visualisation or other work that involves aggregating and presenting data in a clear and concise way.
"Data Scientist, Personal Banking",Monzo,"London
•
Remote",Negotiable,90% of day-to-day data-driven decisions are covered by self-serve analytics through Looker which gives data scientists the head space to focus on more impactful…
Associate Data Scientist,Infosys,London,Negotiable,Perform Exploratory Data Analysis on customer data.
"Data Scientist, Analytics (University Graduate)",Facebook App,London,Negotiable,Experience in presenting qualitative and quantitative data.
People Analytics Data Scientist,MasterCard,"London
•
Temporarily Remote",Negotiable,"We are looking for a data scientist who does not only have a passion for data science, but also strongly wants to see the impact of their work in the business."
Data Scientist,Cantine,London,Negotiable,Assess and improve the effectiveness of existing data sources and data-gathering techniques.
Machine Learning Engineer Graduate (Recommendation) - 2022 S...,TikTok,London,Negotiable,"Interest in at least one of the following areas: machine learning, data mining, algorithms."
Data Scientist,TikTok,London,Negotiable,Experience navigating and working with very large data sets and developing large and complex data pipelines using SQL/HQL.
Data Scientist,Credit Suisse,London,Negotiable,The data scientists have background either Masters or PhDs.
Data Scientist,Kindred Group,London,Negotiable,We have invested heavily in data technologies and associated analytical tools that enables our data scientist to provide innovative solutions using the latest…
Data Scientist,Aqovia,"London
•
Remote","£55,000 - £70,000 a year",Will be working with large volumes of data and have solid experience working with big data architecture and data flows.
Data Scientist,Government Digital Service,London,"£64,500 a year","Experience of data manipulation, visualisation and analysis using programming skills in a data science language such as Python and SQL;"
Data Scientist Associate - Applied AI,"JPMorgan Chase Bank, N.A.",London,Negotiable,"Demonstrable understanding and experience in data structure, data mining and data analysis techniques with real world data."
Data Scientist,Good With Limited,"London
•
Remote","£50,000 - £65,000 a year","Financial data analytics, machine learning and recommendation engine:"
Contract Data Scientist - NLP,Talenting,London,£550 - £590 a day,"Assist with data extraction, transformation, and loading tasks as needed."
Intern Data Scientist 1,Tetra Pak,Windsor,Negotiable,Solid understanding of data structures and common methods in data transformation.
Data Scientist,Sopra Steria,Hemel Hempstead HP2 7AH,"£35,000 - £45,000 a year","Develop, support, educate, and promote our solution capabilities in data science within the data analyst/data science community."
Data Scientist - 13 month Internship,RELX,London,Negotiable,"We will help you to establish, maintain, and tune customer risk models leveraging thousands of data points from the ThreatMetrix Digital Identity Network and…"
Data Scientist,Gios technologies,London,£400 - £450 a day,The role will suit an experienced data scientist analyst who can quickly assimilate information and translate knowledge to coding of systems that meet business…
Junior Data Scientist,Global Radio Services,London,Negotiable,Knowledge of our main data warehouses and data workflows that we are working with.
Data Scientist - Strategy & Operations,Ocado Group,London,Negotiable,Drive a consistent strategy around the use of data and data science across Ocado Technology.
Data Scientist,Workday,London,Negotiable,"Our data lives in a PostgreSQL database, and we use R for data analysis."
Data Scientist,WildBrain SPARK,London NW1 1BU,Negotiable,"Using data to shape the future of kids entertainment – collating, inferring, converting our data sets then building, training, deploying and enhancing AI models…"
Data Science at M&S,Marks & Spencer,London,Negotiable,SQL to retrieve and manipulate data.
Data Scientist - Associat,Financial Conduct Authority,London,"£35,000 - £45,000 a year","Experience of querying and analysing data from relational databases and understanding of data models, data dictionary and data taxonomies."
Data Scientist,Credit Suisse,London,Negotiable,The data scientists have background either Masters or PhDs.
Data Scientist,Kindred Group,London,Negotiable,We have invested heavily in data technologies and associated analytical tools that enables our data scientist to provide innovative solutions using the latest…
Data Scientist,Aqovia,"London
•
Remote","£55,000 - £70,000 a year",Will be working with large volumes of data and have solid experience working with big data architecture and data flows.
Data Scientist,Government Digital Service,London,"£64,500 a year","Experience of data manipulation, visualisation and analysis using programming skills in a data science language such as Python and SQL;"
Data Scientist Associate - Applied AI,"JPMorgan Chase Bank, N.A.",London,Negotiable,"Demonstrable understanding and experience in data structure, data mining and data analysis techniques with real world data."
Data Scientist,Good With Limited,"London
•
Remote","£50,000 - £65,000 a year","Financial data analytics, machine learning and recommendation engine:"
Contract Data Scientist - NLP,Talenting,London,£550 - £590 a day,"Assist with data extraction, transformation, and loading tasks as needed."
Intern Data Scientist 1,Tetra Pak,Windsor,Negotiable,Solid understanding of data structures and common methods in data transformation.
Python Data Scientist (WFH 3 days a week),Exposed Solutions Limited,"London
•
Remote",Negotiable,: Refine and improve data collection and analysis tools.
Data Scientist,Sopra Steria,Hemel Hempstead HP2 7AH,"£35,000 - £45,000 a year","Develop, support, educate, and promote our solution capabilities in data science within the data analyst/data science community."
Data Scientist - 13 month Internship,RELX,London,Negotiable,"We will help you to establish, maintain, and tune customer risk models leveraging thousands of data points from the ThreatMetrix Digital Identity Network and…"
Data Scientist,Gios technologies,London,£400 - £450 a day,The role will suit an experienced data scientist analyst who can quickly assimilate information and translate knowledge to coding of systems that meet business…
Junior Data Scientist,Global Radio Services,London,Negotiable,Knowledge of our main data warehouses and data workflows that we are working with.
Data Scientist,TikTok,London,Negotiable,Experience navigating and working with very large data sets and developing large and complex data pipelines using SQL/HQL.
Data Science at M&S,Marks & Spencer,London,Negotiable,SQL to retrieve and manipulate data.
Data Scientist - Associat,Financial Conduct Authority,London,"£35,000 - £45,000 a year","Experience of querying and analysing data from relational databases and understanding of data models, data dictionary and data taxonomies."
Data Scientist,Credit Suisse,London,Negotiable,The data scientists have background either Masters or PhDs.
Data Scientist,Kindred Group,London,Negotiable,We have invested heavily in data technologies and associated analytical tools that enables our data scientist to provide innovative solutions using the latest…
Data Scientist,Aqovia,"London
•
Remote","£55,000 - £70,000 a year",Will be working with large volumes of data and have solid experience working with big data architecture and data flows.
Data Scientist,Government Digital Service,London,"£64,500 a year","Experience of data manipulation, visualisation and analysis using programming skills in a data science language such as Python and SQL;"
Data Scientist Associate - Applied AI,"JPMorgan Chase Bank, N.A.",London,Negotiable,"Demonstrable understanding and experience in data structure, data mining and data analysis techniques with real world data."
Data Scientist,Good With Limited,"London
•
Remote","£50,000 - £65,000 a year","Financial data analytics, machine learning and recommendation engine:"
Contract Data Scientist - NLP,Talenting,London,£550 - £590 a day,"Assist with data extraction, transformation, and loading tasks as needed."
Intern Data Scientist 1,Tetra Pak,Windsor,Negotiable,Solid understanding of data structures and common methods in data transformation.
Data Scientist,Sopra Steria,Hemel Hempstead HP2 7AH,"£35,000 - £45,000 a year","Develop, support, educate, and promote our solution capabilities in data science within the data analyst/data science community."
Data Scientist - 13 month Internship,RELX,London,Negotiable,"We will help you to establish, maintain, and tune customer risk models leveraging thousands of data points from the ThreatMetrix Digital Identity Network and…"
Data Scientist,Gios technologies,London,£400 - £450 a day,The role will suit an experienced data scientist analyst who can quickly assimilate information and translate knowledge to coding of systems that meet business…
Junior Data Scientist,Global Radio Services,London,Negotiable,Knowledge of our main data warehouses and data workflows that we are working with.
Data Science at M&S,Marks & Spencer,London,Negotiable,SQL to retrieve and manipulate data.
Data Scientist - Associat,Financial Conduct Authority,London,"£35,000 - £45,000 a year","Experience of querying and analysing data from relational databases and understanding of data models, data dictionary and data taxonomies."
Data Scientist,Credit Suisse,London,Negotiable,The data scientists have background either Masters or PhDs.
Data Scientist,Kindred Group,London,Negotiable,We have invested heavily in data technologies and associated analytical tools that enables our data scientist to provide innovative solutions using the latest…
Data Scientist,Aqovia,"London
•
Remote","£55,000 - £70,000 a year",Will be working with large volumes of data and have solid experience working with big data architecture and data flows.
Data Scientist,Government Digital Service,London,"£64,500 a year","Experience of data manipulation, visualisation and analysis using programming skills in a data science language such as Python and SQL;"
Data Scientist Associate - Applied AI,"JPMorgan Chase Bank, N.A.",London,Negotiable,"Demonstrable understanding and experience in data structure, data mining and data analysis techniques with real world data."
Data Scientist,Good With Limited,"London
•
Remote","£50,000 - £65,000 a year","Financial data analytics, machine learning and recommendation engine:"
Contract Data Scientist - NLP,Talenting,London,£550 - £590 a day,"Assist with data extraction, transformation, and loading tasks as needed."
Intern Data Scientist 1,Tetra Pak,Windsor,Negotiable,Solid understanding of data structures and common methods in data transformation.
Data Scientist,Sopra Steria,Hemel Hempstead HP2 7AH,"£35,000 - £45,000 a year","Develop, support, educate, and promote our solution capabilities in data science within the data analyst/data science community."
Data Scientist - 13 month Internship,RELX,London,Negotiable,"We will help you to establish, maintain, and tune customer risk models leveraging thousands of data points from the ThreatMetrix Digital Identity Network and…"
Data Scientist,Gios technologies,London,£400 - £450 a day,The role will suit an experienced data scientist analyst who can quickly assimilate information and translate knowledge to coding of systems that meet business…
Python Data Scientist (WFH 3 days a week),Exposed Solutions Limited,"London
•
Remote",Negotiable,: Refine and improve data collection and analysis tools.
Junior Data Scientist,Global Radio Services,London,Negotiable,Knowledge of our main data warehouses and data workflows that we are working with.
